iter	Logloss
0	0.6883747528
1	0.6808151942
2	0.6765172175
3	0.6732141012
4	0.668738654
5	0.6649885375
6	0.6611547193
7	0.6578711039
8	0.653858169
9	0.6517565715
10	0.6489058372
11	0.6468090516
12	0.6426635362
13	0.6373778537
14	0.6339217696
15	0.6298731254
16	0.6266281951
17	0.6215905787
18	0.6198919146
19	0.6157211367
20	0.6118633223
21	0.6081778499
22	0.6048088865
23	0.6021829186
24	0.5994922432
25	0.5973375882
26	0.5935647418
27	0.5876455347
28	0.5851713948
29	0.5829619095
30	0.5791879234
31	0.5767023237
32	0.5747730049
33	0.573756491
34	0.5716617948
35	0.5680133614
36	0.5652774795
37	0.5624588456
38	0.5582709728
39	0.5564587858
40	0.5543804248
41	0.551096936
42	0.5488573763
43	0.5475892506
44	0.5446198649
45	0.5427737414
46	0.540446048
47	0.538864389
48	0.5351637844
49	0.5333598916
50	0.5299880475
51	0.5272155382
52	0.5247463369
53	0.5223655226
54	0.5200180117
55	0.5178580383
56	0.5146823107
57	0.5125060972
58	0.5100119183
59	0.507191195
60	0.5051213815
61	0.5034722926
62	0.5014039352
63	0.4991295526
64	0.4962546954
65	0.493769159
66	0.4918106522
67	0.4901161352
68	0.4884293426
69	0.4868567376
70	0.484434389
71	0.4820061521
72	0.4806339375
73	0.4795342283
74	0.4766597194
75	0.473653358
76	0.4711377156
77	0.4686742126
78	0.466083764
79	0.4647891729
80	0.463310495
81	0.4613705077
82	0.4580778383
83	0.4550147472
84	0.453497859
85	0.4512141058
86	0.4488514627
87	0.4458627661
88	0.443934587
89	0.4414116317
90	0.4393118071
91	0.4363880711
92	0.4345211172
93	0.4329324619
94	0.4312438332
95	0.4288005275
96	0.4268605719
97	0.4248333056
98	0.4232818477
99	0.4214418657
100	0.4195382526
101	0.4157664192
102	0.4120127571
103	0.4090046863
104	0.4070054683
105	0.4053240258
106	0.4021612777
107	0.3991835345
108	0.3967572921
109	0.3947449997
110	0.392018425
111	0.3891186853
112	0.3860556575
113	0.3838362951
114	0.381949492
115	0.3804544473
116	0.3772320886
117	0.3755159813
118	0.3732247887
119	0.3713623933
