iter	Passed	Remaining
0	9	1184
1	16	988
2	26	1018
3	33	962
4	40	938
5	47	908
6	56	909
7	63	889
8	74	915
9	82	907
10	93	924
11	104	937
12	113	932
13	123	932
14	131	917
15	138	899
16	146	890
17	155	878
18	166	884
19	175	878
20	186	880
21	195	872
22	204	864
23	212	851
24	220	837
25	228	824
26	235	810
27	242	797
28	250	784
29	258	774
30	266	765
31	274	754
32	281	743
33	289	732
34	296	721
35	306	715
36	315	707
37	322	695
38	331	688
39	338	676
40	346	667
41	353	657
42	361	646
43	367	635
44	374	624
45	382	615
46	388	604
47	398	597
48	405	587
49	413	578
50	419	568
51	427	559
52	434	549
53	442	541
54	450	532
55	460	526
56	467	516
57	476	508
58	483	499
59	492	492
60	500	483
61	509	476
62	517	467
63	525	459
64	532	450
65	540	442
66	549	434
67	558	426
68	565	417
69	572	409
70	580	400
71	587	391
72	594	383
73	601	374
74	610	366
75	617	357
76	625	349
77	632	340
78	640	332
79	647	323
80	655	315
81	663	307
82	673	300
83	680	291
84	688	283
85	695	274
86	704	267
87	712	259
88	722	251
89	731	243
90	738	235
91	747	227
92	754	218
93	761	210
94	768	202
95	776	194
96	784	186
97	793	178
98	801	169
99	808	161
100	816	153
101	823	145
102	830	137
103	838	128
104	845	120
105	853	112
106	860	104
107	867	96
108	873	88
109	880	80
110	887	71
111	895	63
112	903	55
113	912	48
114	918	39
115	926	31
116	934	23
117	942	15
118	949	7
119	956	0
